Grid Name,Grid Rows,Grid Columns,Num Of Agents,Num Of Obstacles,Instance Id,A*/SIC Success,A*/SIC Runtime,A*/SIC Solution Cost,A*/SIC Expanded,A*/SIC Generated,A*/SIC Reopened,A*/SIC BPMX boosts,A*/SIC Closed List Hits,A*/SIC Reopened With Old H,A*/SIC H Updated From Other Area,A*/SIC Max expansion delay,A*/SIC Quick Insertions,A*/SIC Quick Insertions Cancelled,A*/SIC Max Group,A*/SIC Solution Depth,
Random Grid,20,20,4,40,1,1,20.3674,36,9,4356,0,0,134,0,0,0,9,23,4,0,
Random Grid,20,20,4,40,2,1,17.8168,26,9,3606,0,0,395,0,0,0,9,35,4,0,
Random Grid,20,20,1,40,0,1,29.66,18,18,46,0,0,39,0,0,0,18,4,1,0,
Random Grid,20,20,1,40,1,1,0.127200000000002,14,14,37,0,0,29,0,0,0,14,8,1,0,
Random Grid,20,20,1,40,2,1,0.075099999999992,12,12,37,0,0,24,0,0,0,12,10,1,0,
Random Grid,20,20,1,40,3,1,0.102400000000003,18,18,47,0,0,37,0,0,0,18,10,1,0,
Random Grid,20,20,4,40,0,1,33.2239,62,18,7421,0,0,473,0,0,0,18,58,4,0,
Random Grid,20,20,4,40,1,1,16.7185,31,9,4136,0,0,229,0,0,0,9,12,4,0,
Random Grid,20,20,4,40,2,1,16.6613,31,9,3877,0,0,224,0,0,0,9,35,4,0,
Random Grid,20,20,5,40,0,1,970.5248,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,432.469,38,9,17963,0,0,523,0,0,0,9,62,5,0,
Random Grid,20,20,5,40,2,1,195.1713,22,9,14580,0,0,2021,0,0,0,9,7,5,0,
Random Grid,20,20,6,40,0,1,2478.2049,83,17,121974,0,0,2231,0,0,0,17,214,6,0,
Random Grid,20,20,6,40,1,1,1484.5753,51,9,74514,0,0,647,0,0,0,9,68,6,0,
Random Grid,20,20,6,40,2,1,862.1893,32,8,54256,0,0,2001,0,0,0,8,29,6,0,
Random Grid,20,20,5,40,0,1,895.3353,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,420.6006,38,9,17963,0,0,523,0,0,0,9,62,5,0,
Random Grid,20,20,5,40,2,1,195.1997,22,9,14580,0,0,2021,0,0,0,9,7,5,0,
Random Grid,20,20,1,40,0,1,26.9902,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.149299999999997,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.120499999999993,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.102799999999988,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0569000000000131,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,886.124,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,307.2126,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,5792.444,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,5,40,0,1,938.8686,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,444.0226,38,9,17963,0,0,523,0,0,0,9,62,5,0,
Random Grid,20,20,5,40,2,1,183.6829,22,9,14580,0,0,2021,0,0,0,9,7,5,0,
Random Grid,20,20,5,40,0,1,944.4319,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
